player_id,player_name,game_id,season,team_abbreviation,pts,reb,ast,stl,blk,turnover,fgm,fga,ftm,fta,min
17896045,Corey Kispert,857374,2022,WAS,0,0,0,0,0,0,0,0,0,0,0.0
125,DeMar DeRozan,857374,2022,CHI,32,6,6,1,0,3,11,23,10,11,37.0
3547248,Patrick Williams,857374,2022,CHI,7,1,0,0,1,1,2,5,2,2,24.0
460,Nikola Vucevic,857374,2022,CHI,24,8,1,0,0,1,5,14,12,12,30.0
89,Alex Caruso,857374,2022,CHI,3,3,1,3,1,4,1,4,1,2,31.0
17895983,Ayo Dosunmu,857374,2022,CHI,7,5,2,1,0,0,3,9,0,0,31.0
666956,Coby White,857374,2022,CHI,10,2,1,1,0,1,3,6,2,4,31.0
666604,Javonte Green,857374,2022,CHI,0,1,2,2,0,0,0,4,0,0,15.0
137,Andre Drummond,857374,2022,CHI,10,10,1,0,1,3,5,6,0,2,18.0
136,Goran Dragic,857374,2022,CHI,7,2,5,0,0,0,3,8,0,0,23.0
60,Tony Bradley,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
24102469,Malcolm Hill,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
247,Derrick Jones Jr.,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
4197388,Marko Simonovic,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
38017719,Dalen Terry,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
16,Kostas Antetokounmpo,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
27,Lonzo Ball,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
268,Zach LaVine,857374,2022,CHI,0,0,0,0,0,0,0,0,0,0,0.0
178,Eric Gordon,857376,2022,HOU,17,4,4,0,0,4,5,12,5,7,36.0
38017684,Jabari Smith Jr.,857376,2022,HOU,10,1,1,0,2,0,3,14,2,2,35.0
666564,Bruno Fernando,857376,2022,HOU,4,4,2,1,0,1,2,3,0,0,12.0
17895966,Jalen Green,857376,2022,HOU,33,5,2,1,0,2,13,21,3,4,35.0
666849,Kevin Porter Jr.,857376,2022,HOU,18,5,4,0,0,3,6,16,2,4,35.0
3547294,Kenyon Martin Jr.,857376,2022,HOU,8,5,3,1,1,3,3,5,1,2,25.0
38017695,Tari Eason,857376,2022,HOU,6,7,1,0,1,0,2,6,1,1,20.0
17896062,Alperen Sengun,857376,2022,HOU,23,12,1,1,2,1,9,13,4,10,27.0
666754,Garrison Mathews,857376,2022,HOU,3,1,0,0,0,0,1,2,0,0,13.0
17896023,Josh Christopher,857376,2022,HOU,0,1,0,0,0,0,0,1,0,0,3.0
17896070,Usman Garuba,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
38017737,Trevor Hudgins,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
296,Boban Marjanovic,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
17895968,Daishen Nix,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
38017665,Darius Days,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
3547301,Jae'Sean Tate,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
38017691,TyTy Washington Jr.,857376,2022,HOU,0,0,0,0,0,0,0,0,0,0,0.0
3547287,Desmond Bane,857376,2022,MEM,14,6,7,2,0,3,3,16,5,5,33.0
17896067,Santi Aldama,857376,2022,MEM,8,9,3,1,3,1,3,11,2,4,31.0
3,Steven Adams,857376,2022,MEM,6,9,2,0,2,0,3,4,0,2,33.0
666703,John Konchar,857376,2022,MEM,17,5,0,3,1,0,7,11,0,0,30.0
666786,Ja Morant,857376,2022,MEM,49,4,8,1,2,3,17,26,10,13,31.0
249,Tyus Jones,857376,2022,MEM,11,4,4,0,0,0,4,13,0,0,22.0
3547285,Xavier Tillman,857376,2022,MEM,0,2,0,0,0,0,0,2,0,0,7.0
666505,Brandon Clarke,857376,2022,MEM,4,4,2,0,1,2,1,2,2,4,15.0
38017729,David Roddy,857376,2022,MEM,8,2,0,1,0,2,3,6,0,0,23.0
38017728,Jake LaRavia,857376,2022,MEM,12,5,0,0,1,1,4,7,1,1,15.0
38017702,Kennedy Chandler,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
38017732,Kenneth Lofton Jr.,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
38017731,Vince Williams Jr.,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
66,Dillon Brooks,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
184,Danny Green,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
231,Jaren Jackson Jr.,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
17896027,Ziaire Williams,857376,2022,MEM,0,0,0,0,0,0,0,0,0,0,0.0
17896030,Chris Duarte,857373,2022,IND,4,1,2,0,1,1,2,6,0,0,17.0
17896116,Terry Taylor,857373,2022,IND,9,7,2,0,0,0,4,7,0,0,22.0
3547264,Jalen Smith,857373,2022,IND,2,2,0,0,0,1,1,3,0,0,7.0
210,Buddy Hield,857373,2022,IND,13,5,2,2,1,3,5,9,0,0,24.0
3547245,Tyrese Haliburton,857373,2022,IND,27,3,12,1,0,4,9,18,8,8,27.0
38017686,Bennedict Mathurin,857373,2022,IND,26,5,2,0,0,0,8,15,7,8,28.0
17896035,Isaiah Jackson,857373,2022,IND,16,6,2,1,1,2,6,9,4,4,16.0
38017507,Andrew Nembhard,857373,2022,IND,14,3,3,2,0,0,5,12,2,2,30.0
304,T.J. McConnell,857373,2022,IND,4,3,4,2,0,3,2,6,0,0,17.0
3547250,Aaron Nesmith,857373,2022,IND,9,4,2,0,1,1,4,9,0,0,21.0
666442,Goga Bitadze,857373,2022,IND,8,1,0,0,0,1,4,7,0,0,18.0
