(233, -9.137593)
(275, 13.572878)
(491, 23.190153)
(45088184, 0.000000)
(86, 7.956072)
(91, 0.000000)
(17896103, 30.145024)
(45658838, -2.573604)
(24417679, 5.666088)
(18677954, 8.849600)
(3547299, 17.661980)
(666960, 5.718582)
(45969255, 0.000000)
(46658323, 24.530043)
(666463, 18.700516)
(21, 0.000000)
(3547280, 18.446210)
(17895994, 7.880622)
(666881, 11.522521)
(2202, 15.194885)
(31890572, 9.105646)
(3547289, 25.761856)
(199, 30.387273)
(47738533, 20.725843)
(47957121, 2.985180)
(444, 0.000000)
(17896052, 19.241884)
(48248491, 16.459300)
(48248287, 15.095266)
